title,Ez First Pass 1-5,director,producers,editors,cinematographers,original_title,release_year,festival_year,country,runtime_minutes,premiere,website,category,description,screening_date,screening_start_time,screening_end_time,venue,schedule_color,special_notes,film_page_url
Ideas of Order,5,Erin Espelie,Erin Espelie,Erin Espelie,Evan Johnson,,2026,2026,United States,71,,,NEW DOCS,"A collision between the macro-collapse of ecosystems and the minutiae of cellular colonies, in a story about entropy, unrestrained growth, waltzing mice, earlier-onset cancers, programmed death, and the bacteria that made Earth rich in oxygen—opening up space for life today.","Friday, April 17",4:00 PM,6:00 PM,Cinema 1,blue,,https://www.fullframefest.org/film/ideas-of-order/
Joybubbles,5,Rachael J. Morrison,Sarah Winshall; Will Butler; Annie Marr,Bradford Thomason; Patrick Lawrence,Michael Belcher; Ashley Connor; Helki Frantzen; Hiroshi Hara,,2026,2026,United States,79,,,NEW DOCS,"A boy discovers he can control the global telephone system by whistling a magic tone. Born blind and yearning for connection, his early obsession with the telephone sparks a subculture that shapes the future of hacking and technology.","Saturday, April 18",11:30 AM,1:30 PM,Cinema 4,blue,,https://www.fullframefest.org/film/joybubbles/
Kikuyu Land,5,Andrew H. Brown; Bea Wangondu,Moses Bwayo; Andrew H. Brown; Mike Morrisroe; Bea Wangondu; Joseph Njenga,Andrew H. Brown,Andrew H. Brown,,2026,2026,Kenya; United States,93,,https://www.kikuyulandfilm.com,Invited,"In Kenya's tea highlands, one man's claim to his family's stolen land sets Mr. Mungai against a multinational giant. His fight draws a local news producer into a battle that exposes buried histories, family secrets, and the unfinished business of colonial power.","Friday, April 17",11:00 AM,1:00 PM,Fletcher,yellow,,https://www.fullframefest.org/film/kikuyu-land/
Nuisance Bear,5,Gabriela Osio Vanden; Jack Weisman,Michael Code; Will N. Miller; Teddy Leifer,Andres Landau,Gabriela Osio Vanden; Jack Weisman; Michael Code; Sam Holling; Ian Kerr; Jack Gawthrop,,2026,2026,United States; Canada,90,,,Invited,"A polar bear is forced to navigate a human world of tourists, wildlife officers, and hunters as its ancient migration collides with modern life. When a sacred predator is branded a nuisance, it becomes unclear who truly belongs in this shared landscape.","Saturday, April 18",5:00 PM,7:00 PM,Fletcher,yellow,,https://www.fullframefest.org/film/nuisance-bear/
Seized,5,Sharon Liese,Sharon Liese; Sasha Alpert; Paul Matyasovsky,Derek Boonstra,Jackson Montemayor,,2026,2026,United States,94,,,NEW DOCS,"When the small town of Marion, Kansas, is thrust into the international spotlight after a police raid on the Marion County Record and the death of its 98-year-old co-owner, a fierce debate ignites about the abuse of power, journalistic ethics, local journalism, and the United States Constitution.","Thursday, April 16",10:30 AM,12:30 PM,Fletcher,blue,,https://www.fullframefest.org/film/seized/
Militantropos,4.5,Yelizaveta Smith; Alina Gorlova; Simon Mozgovyi,Eugene Rachkovsky; Ralph Wieser; Nabil Bellahsene; Justin Pechberty; Damien Megherbi,Yelizaveta Smith; Simon Mozgovyi; Alina Gorlova,Viacheslav Tsvietkov; Khrystyna Lizogub; Denys Melnyk,,2025,2026,Ukraine; Austria; France,111,North American Premiere,,NEW DOCS,"Militantropos captures the human condition through the fractured realities of the Russian invasion of Ukraine. The film pieces together everyday lives transformed by war—those who flee, those who lose everything, and those who stay to resist and fight—tracing both the instinct to survive and the need for closeness.","Saturday, April 18",5:30 PM,7:30 PM,Cinema 4,blue,,https://www.fullframefest.org/film/militantropos/
No Mean City,4.5,Ross McClean,Conal Clapper; Heidi Fleisher; Mike Paterson,Ross McClean; Phil Harrison,Ronnie McQuillan,,2025,2026,United States; United Kingdom,14,,https://www.rossmcclean.com/nomeancity,NEW DOCS,"Two workmen and an apprentice drive through Belfast at night, replacing old sodium streetlights with LED. Beneath their glow, the city grapples with change, as progress marches on.","Thursday, April 16",7:30 PM,9:30 PM,Cinema 1,blue,,https://www.fullframefest.org/film/no-mean-city/
Still Standing,4.5,Víctor Tadashi Suarez; Livia Albeck-Ripka,Livia Albeck-Ripka; Víctor Tadashi Suarez,Víctor Tadashi Suarez,Víctor Tadashi Suarez,,2025,2026,United States,9,,https://www.stillstandingfilm.com,NEW DOCS,"After the Los Angeles wildfires leave thousands of homes contaminated with toxic ash, residents face an impossible choice: should they risk their health to return home?","Saturday, April 18",4:00 PM,6:00 PM,Cinema 1,blue,,https://www.fullframefest.org/film/still-standing-2/
The Last First: Winter K2,4.5,Amir Bar-Lev,John Battsek; Sean Richard; Sarah Thomson; Howard T. Owens; Ben Silverman,Joe Carey,Will Pugh,,2025,2026,United States,98,,,Invited,"The Last First: Winter K2 takes us to the icy heights and unpredictable weather of K2 and reveals a surprising and layered story—one of strategy and determination, class and caste, money and power—all under life and death circumstances.","Friday, April 17",8:00 PM,10:00 PM,Fletcher,yellow,,https://www.fullframefest.org/film/last-first-winter-k2/
The Rehearsal,4.5,Nathan Fielder,Adam Locke-Norton,,,,2025,2026,United States,180,,,Thematic,"The Rehearsal follows one man's journey to reduce the uncertainties of everyday life. With a construction crew, a legion of actors, and seemingly unlimited resources, Fielder helps ordinary people prepare for life's biggest moments by ""rehearsing"" them in carefully crafted simulations of his own design. In season two, the urgency of Fielder's project grows as he decides to put his resources toward an issue that affects us all.","Saturday, April 18",5:00 PM,8:00 PM,Cinema 2,blue,,https://www.fullframefest.org/film/the-rehearsal/
